city,year,sport,discipline,event,athlete,gender,country_code,country,event_gender,medal,decade,continent,repeat_medalist,sport_group
Montreal,1976,Aquatics,Diving,3M Springboard,"Köhler, Christa",Women,Gdr,East Germany,W,Silver,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Diving,3M Springboard,"Kosenkov, Aleksandr",Men,Urs,Soviet Union,M,Bronze,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Diving,3M Springboard,"Boggs, Philip George",Men,Usa,United States,M,Gold,1970,North America,No,Water Sports
Montreal,1976,Aquatics,Diving,3M Springboard,"Cagnotto, Giorgio Franco",Men,Ita,Italy,M,Silver,1970,Europe,Yes,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Wilson, Deborah Keplar",Women,Usa,United States,W,Bronze,1970,North America,No,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Louganis, Gregory",Men,Usa,United States,M,Silver,1970,North America,Yes,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Vaytsekhovskaya, Elena",Women,Urs,Soviet Union,W,Gold,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Diving,3M Springboard,"Potter-Mcingvale, Cynthia",Women,Usa,United States,W,Bronze,1970,North America,No,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Dibiasi, Klaus",Men,Ita,Italy,M,Gold,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Aleinik, Vladimir",Men,Urs,Soviet Union,M,Bronze,1970,Europe,Yes,Water Sports
Montreal,1976,Aquatics,Diving,10M Platform,"Knape-Lindbergh, Ulrika",Women,Swe,Sweden,W,Silver,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Diving,3M Springboard,"Chandler, Jennifer Kay",Women,Usa,United States,W,Gold,1970,North America,No,Water Sports
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"Babashoff, Shirley Farber",Women,Usa,United States,W,Gold,1970,North America,Yes,Water Sports
Montreal,1976,Aquatics,Swimming,400M Freestyle,"Shaw, Timothy Andrew",Men,Usa,United States,M,Silver,1970,North America,Yes,Water Sports
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"Priemer, Petra",Women,Gdr,East Germany,W,Silver,1970,Europe,Yes,Water Sports
Montreal,1976,Aquatics,Swimming,1500M Freestyle,"Holland, Stephen",Men,Aus,Australia,M,Bronze,1970,Oceania,No,Water Sports
Montreal,1976,Aquatics,Swimming,400M Individual Medley,"Smirnov, Andrei",Men,Urs,Soviet Union,M,Bronze,1970,Europe,No,Water Sports
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"Anke, Hannelore",Women,Gdr,East Germany,W,Gold,1970,Europe,Yes,Water Sports
Montreal,1976,Aquatics,Swimming,800M Freestyle,"Babashoff, Shirley Farber",Women,Usa,United States,W,Silver,1970,North America,Yes,Water Sports
Montreal,1976,Aquatics,Swimming,800M Freestyle,"Thümer, Petra",Women,Gdr,East Germany,W,Gold,1970,Europe,Yes,Water Sports
